,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,country_code,admin_division_population,gazeteer_distance,longitude,latitude,fatality_count_predictions
8,5.0,mudslide,rain,2,unknown,US,2689.0,4.51471,-114.4194,43.6846,1.0
48,10.0,mudslide,downpour,2,unknown,US,2369.0,23.55928,-132.7269,56.5561,1.0
49,5.0,mudslide,downpour,2,unknown,US,2369.0,24.6152,-132.7348,56.5692,1.0
50,5.0,mudslide,downpour,2,unknown,US,2369.0,16.55139,-132.5617,56.5787,7.0
97,10.0,landslide,downpour,3,unknown,US,2514.0,14.54271,-124.01,42.9744,4.0
98,1.0,landslide,downpour,2,unknown,IN,2467.0,8.68139,77.1029,31.0226,1.0
101,12.674393057233878,landslide,downpour,2,unknown,GH,50293.0,33.47473,-0.9992,5.5779,3.0
103,5.0,landslide,rain,2,unknown,TT,0.0,8.24676,-60.55,11.3169,5.0
456,5.0,landslide,rain,2,unknown,IN,100485.0,1.42927,73.8277,15.4014,0.0
459,12.674393057233878,complex,rain,2,unknown,PE,0.0,12.26171,-75.4267,-10.3838,0.0
463,50.0,landslide,downpour,2,unknown,NP,0.0,4.91296,81.3333,29.0833,0.0
465,50.0,landslide,downpour,2,unknown,CA,8715.0,3.06629,-117.6582,49.3265,0.0
477,25.0,landslide,rain,3,unknown,BR,153361.0,0.19081,-42.5329,-22.2815,0.0
493,50.0,landslide,rain,2,unknown,PH,0.0,12.76242,125.4498,7.8098,0.0
499,25.0,landslide,rain,2,unknown,US,7167.0,9.34191,-121.6406,45.7153,0.0
503,5.0,mudslide,downpour,1,unknown,US,10917.0,1.53004,-118.0459,34.1742,0.0
504,1.0,landslide,rain,1,unknown,US,16000.0,3.40765,-77.2682,38.6009,0.0
507,5.0,landslide,rain,2,above_road,NP,21867.0,20.64138,84.06527738,27.99134853,0.0
509,5.0,landslide,rain,2,unknown,GB,0.0,0.29284,-2.9339,51.3255,0.0
516,25.0,landslide,rain,4,unknown,CH,2192.0,1.52259,6.852,46.7191,0.0
522,5.0,landslide,downpour,1,unknown,BR,272691.0,5.3496,-43.2087,-22.5444,0.0
523,25.0,landslide,downpour,2,unknown,CR,8292.0,12.85801,-84.397,9.764,0.0
526,50.0,complex,tropical_cyclone,2,unknown,PH,9636.0,2.85869,120.6,18.23,0.0
534,10.0,landslide,rain,1,unknown,GB,3170.0,1.84621,-4.9527,50.4444,0.0
541,25.0,landslide,rain,3,unknown,ID,50059.0,26.7208,111.1835,-7.6511,0.0
545,5.0,landslide,rain,2,unknown,GB,1320.0,9.30801,-2.2651,57.6778,0.0
551,50.0,mudslide,rain,2,unknown,US,9834.0,15.01823,-123.1628,47.3434,0.0
571,12.674393057233878,landslide,snowfall_snowmelt,2,above_road,CN,0.0,1.80848,85.9742,27.978,0.0
584,12.674393057233878,landslide,tropical_cyclone,2,unknown,CR,4108.0,17.65521,-85.3555,10.4024,0.0
591,1.0,mudslide,rain,1,unknown,US,12088.0,2.63588,-106.8295,40.4613,0.0
599,50.0,landslide,unknown,2,above_road,US,1443.0,31.6121,-111.633,36.6468,0.0
604,5.0,complex,rain,2,unknown,US,4154.0,18.71757,-123.8673,43.6768,0.0
608,5.0,landslide,downpour,2,unknown,PH,0.0,6.75217,120.8299,16.5505,0.0
609,5.0,landslide,downpour,1,unknown,US,6903.0,11.07489,-82.4322,37.4072,0.0
626,25.0,landslide,rain,2,unknown,US,2450.0,15.65712,-105.3054,40.6862,0.0
630,10.0,mudslide,rain,1,unknown,US,2370.0,34.11263,-120.0477,48.3455,0.0
635,25.0,landslide,rain,2,above_road,IN,3278.0,5.78589,75.1921061,33.33875958,0.0
638,5.0,complex,rain,2,unknown,US,805235.0,4.28838,-122.4629,37.7923,0.0
646,1.0,landslide,downpour,2,unknown,US,83393.0,1.27543,-82.5412,35.6057,0.0
651,5.0,mudslide,downpour,2,unknown,GB,82903.0,0.61569,-2.9735,51.3512,0.0
668,5.0,landslide,tropical_cyclone,2,unknown,PH,8303.0,0.93745,124.9845,10.3926,0.0
672,5.0,landslide,rain,2,unknown,ES,6090.0,0.59066,-2.301,37.3385,0.0
675,5.0,landslide,rain,2,unknown,US,1965.0,35.98308,-121.086,47.7463,0.0
676,10.0,rock_fall,unknown,1,unknown,US,4551.0,5.56055,-158.026,21.62,0.0
680,12.674393057233878,mudslide,downpour,2,unknown,CN,0.0,9.12332,116.036,27.278,0.0
696,25.0,landslide,rain,2,unknown,IN,46427.0,0.2804,88.2778,26.885,0.0
697,5.0,landslide,rain,2,unknown,US,4227.0,4.10329,-82.7938,35.5429,0.0
707,10.0,mudslide,downpour,2,unknown,US,1655.0,5.78163,-104.9722,38.8971,0.0
713,25.0,landslide,rain,2,unknown,IN,12871.0,43.16287,93.4333,24.75,0.0
716,12.674393057233878,landslide,rain,2,unknown,ID,0.0,215.44888,113.9171,0.1115,0.0
720,5.0,landslide,rain,2,unknown,MY,1453975.0,2.41996,101.7022,3.1564,0.0
723,5.0,mudslide,rain,2,unknown,US,305704.0,2.64611,-80.0181,40.4239,0.0
730,50.0,landslide,downpour,2,unknown,VN,0.0,14.55771,107.2327,16.5489,0.0
732,12.674393057233878,landslide,tropical_cyclone,2,unknown,PH,3787.0,5.91705,121.4196,17.4458,0.0
735,1.0,landslide,tropical_cyclone,1,unknown,US,9015.0,1.69766,-86.5011,31.3077,0.0
740,10.0,landslide,downpour,2,unknown,MY,12825.0,1.76365,116.4333,6.3667,0.0
743,10.0,landslide,rain,2,unknown,LK,93118.0,0.44456,80.2174,6.0327,0.0
746,25.0,landslide,snowfall_snowmelt,2,unknown,NP,9073.0,32.6879,81.8833,29.1426,0.0
760,5.0,landslide,unknown,2,unknown,IN,223523.0,53.05172,94.3619,25.0985,0.0
769,5.0,landslide,rain,2,unknown,US,1855.0,11.05579,-122.3829,44.8268,0.0
771,10.0,landslide,rain,2,unknown,AE,44411.0,9.82121,55.652,25.5768,0.0
776,5.0,landslide,tropical_cyclone,1,unknown,TT,0.0,2.66802,-60.566,11.267,0.0
778,10.0,mudslide,downpour,2,unknown,US,17781.0,2.02291,-111.9045,40.3309,0.0
779,5.0,landslide,downpour,2,above_road,IN,17123.0,19.4259,78.61786282,30.80200029,0.0
785,1.0,landslide,downpour,2,unknown,GB,6594.0,6.80975,-1.2666,60.1366,0.0
790,10.0,landslide,unknown,2,unknown,PH,309709.0,2.85205,125.5593,8.9697,0.0
798,5.0,landslide,rain,2,unknown,IN,2000.0,23.45041,79.2498,30.2835,0.0
809,5.0,landslide,downpour,2,unknown,US,5338.0,2.40444,-84.4481,39.1229,0.0
810,1.0,landslide,downpour,2,unknown,IN,5233.0,6.36465,76.8521,31.9671,0.0
813,12.674393057233878,landslide,rain,3,unknown,PK,0.0,28.06031,72.983,35.273,0.0
818,5.0,landslide,rain,2,unknown,US,1461.0,1.40599,-83.3698,36.8529,0.0
819,25.0,landslide,rain,2,unknown,VN,0.0,4.19484,108.4852,15.234,0.0
837,5.0,landslide,downpour,2,urban,IN,12691836.0,4.58143,72.907,19.0397,0.0
842,5.0,landslide,downpour,2,unknown,IN,28217.0,0.20096,76.9312,31.709,0.0
845,25.0,landslide,downpour,2,unknown,IN,2000.0,5.01376,77.1947,32.1797,0.0
850,5.0,landslide,downpour,1,unknown,IN,173503.0,0.41605,77.1625,31.1032,0.0
860,10.0,landslide,rain,2,unknown,US,1171.0,2.06558,-83.0299,35.6172,0.0
885,10.0,landslide,downpour,2,unknown,GB,1916.0,7.56005,-2.417,56.7709,0.0
898,10.0,landslide,continuous_rain,2,unknown,IN,12871.0,43.11128,93.4341,24.7625,0.0
908,5.0,landslide,rain,2,unknown,VN,57408.0,23.52067,106.5408,10.0222,0.0
917,10.0,landslide,rain,2,unknown,US,28015.0,11.48269,-84.4427,37.8868,0.0
925,25.0,landslide,tropical_cyclone,2,unknown,PH,798634.0,8.11387,123.8514,10.3789,0.0
933,5.0,landslide,downpour,2,unknown,NP,23296.0,41.28432,83.1913,28.3922,0.0
939,5.0,mudslide,rain,1,unknown,US,8965.0,2.64242,-119.653,34.453,0.0
944,10.0,mudslide,rain,2,unknown,KE,1073.0,35.10224,35.4667,1.4833,0.0
946,25.0,landslide,downpour,2,unknown,IN,22654.0,9.62825,92.899,22.533,0.0
956,5.0,mudslide,rain,1,unknown,US,6447.0,3.03321,-106.4879,39.625,0.0
972,50.0,landslide,rain,2,unknown,FJ,14596.0,61.21328,178.25,-17.56,0.0
977,25.0,landslide,tropical_cyclone,2,unknown,PR,418140.0,6.91777,-66.051,18.432,0.0
986,5.0,complex,downpour,1,unknown,US,371657.0,5.24405,-157.8143,21.3302,0.0
988,5.0,mudslide,downpour,2,unknown,ZA,15000.0,8.45138,30.9419,-29.9135,0.0
993,5.0,landslide,downpour,2,unknown,IN,39982.0,16.97606,92.8573,25.1175,0.0
1008,12.674393057233878,landslide,downpour,2,unknown,EC,5114.0,33.94603,-78.148,-0.356,0.0
1022,10.0,landslide,downpour,2,unknown,MY,140849.0,3.39271,100.2487,5.345,0.0
